,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
AC114781.4,6.649778,6.2726502,6.5136576,5.992238,6.2441254,6.1080456,5.980939,5.734701,6.2954297,6.1286855
AC114786.2,4.115923,4.453651,4.4684305,5.3400965,4.2278533,5.043164,4.478489,5.3606963,4.935261,4.2267427
AC114786.3,5.3984785,5.346606,5.9935184,6.213045,6.0309134,6.725547,6.3575287,6.697103,7.328724,7.1399546
AC114801.1,4.8251643,5.4889936,5.000919,5.732854,5.093819,7.6739964,5.610918,6.560191,7.337016,7.002578
AC114947.1,12.34158,12.472167,12.557403,12.301742,12.22439,10.43067,10.518212,10.5047,10.363083,10.354443
AC114971.1,6.9678407,7.0959272,7.589611,7.6866136,7.3541174,6.8883305,6.4631977,6.9827857,7.0741286,6.6183205
AC114982.1,4.778329,4.8788033,5.576513,5.598749,5.1603827,4.7681384,5.1021423,4.982239,5.0942483,4.554032
AC115220.2,10.986736,10.260697,11.070601,10.042255,10.815716,12.047982,12.147292,12.183931,12.011419,11.913461
AC115285.1,5.1479006,5.825086,5.321063,5.047414,6.467945,5.2609076,3.9087212,4.990008,5.5260925,4.8407106
AC115618.1,6.2392206,6.0861454,6.0037684,5.7031827,6.3441668,5.741658,5.4965,6.060418,5.8848763,5.449536
AC115619.1,4.475788,5.031271,5.0710845,5.4111257,4.8314433,5.6238365,5.170099,5.887259,5.266469,5.3574715
AC116337.2,9.160402,9.275868,9.163765,7.9186096,9.0280285,11.204178,11.262438,10.186593,11.116186,11.230288
AC116337.3,10.195951,10.080411,9.925036,10.181488,9.764529,11.8421,11.785863,11.739834,11.69594,11.689048
AC116353.3,5.317013,5.460201,5.5627103,4.8995895,5.1495323,4.6220155,3.7317405,4.8516326,6.404596,4.0138326
AC116362.1,9.835548,9.680291,9.845734,9.990185,9.669018,9.698333,9.705752,9.656644,10.283064,10.1174755
AC116424.1,5.408821,6.140694,5.723197,6.364963,5.8906913,5.5096765,4.746998,5.7036,5.2443438,4.888602
AC116562.4,10.4301195,10.518212,10.557839,10.443401,10.472002,10.551132,10.705986,10.5738125,10.507802,10.542118
AC116666.1,6.9967313,7.0231953,7.465703,7.2299933,6.93619,7.610814,7.6651187,7.676136,7.569668,7.3291607
AC116917.1,4.308701,2.9313414,3.4894652,2.7918944,4.2164564,5.5697236,5.371829,4.1637573,5.6007843,5.8687487
AC117382.2,8.004488,7.8138633,8.285411,8.251802,7.9284687,8.325066,8.144482,8.381952,8.484122,8.281162
AC117461.1,4.1322327,5.0737185,5.7152653,5.861521,5.1355033,5.570965,4.887836,6.0743732,6.0577955,5.1709228
AC117522.3,7.3450975,7.7783523,7.2374063,7.546201,7.458898,6.550564,6.581814,6.833448,6.204428,6.552213
AC118653.1,7.2841125,7.5192075,7.3921237,7.2305756,7.9748855,7.543474,7.598918,7.7496905,7.6709657,8.009487
AC119428.2,8.613239,8.391005,8.643007,9.1268425,8.706024,7.6952906,7.62025,8.127535,7.6688905,7.3926578
